file,tracer,region,z,dNdz
LRGz2_dNdz_south,LRGz2,south,1.0350000000000001,0.008
LRGz2_dNdz_south,LRGz2,south,1.045,0.008
LRGz2_dNdz_south,LRGz2,south,1.0550000000000002,0.009
LRGz2_dNdz_south,LRGz2,south,1.065,0.011
LRGz2_dNdz_south,LRGz2,south,1.0750000000000002,0.01
LRGz2_dNdz_south,LRGz2,south,1.085,0.007
LRGz2_dNdz_south,LRGz2,south,1.0950000000000002,0.008
LRGz2_dNdz_south,LRGz2,south,1.105,0.005
LRGz2_dNdz_south,LRGz2,south,1.1150000000000002,0.006
LRGz2_dNdz_south,LRGz2,south,1.125,0.006
LRGz2_dNdz_south,LRGz2,south,1.1349999999999998,0.007
LRGz2_dNdz_south,LRGz2,south,1.145,0.005
LRGz2_dNdz_south,LRGz2,south,1.1549999999999998,0.005
LRGz2_dNdz_south,LRGz2,south,1.165,0.005
LRGz2_dNdz_south,LRGz2,south,1.1749999999999998,0.003
LRGz2_dNdz_south,LRGz2,south,1.185,0.004
LRGz2_dNdz_south,LRGz2,south,1.1949999999999998,0.002
LRGz2_dNdz_south,LRGz2,south,1.205,0.003
LRGz2_dNdz_south,LRGz2,south,1.2149999999999999,0.002
LRGz2_dNdz_south,LRGz2,south,1.225,0.005
LRGz2_dNdz_south,LRGz2,south,1.2349999999999999,0.002
LRGz2_dNdz_south,LRGz2,south,1.245,0.001
LRGz2_dNdz_south,LRGz2,south,1.255,0.001
LRGz2_dNdz_south,LRGz2,south,1.2650000000000001,0.002
LRGz2_dNdz_south,LRGz2,south,1.275,0.003
LRGz2_dNdz_south,LRGz2,south,1.2850000000000001,0.002
LRGz2_dNdz_south,LRGz2,south,1.295,0.002
LRGz2_dNdz_south,LRGz2,south,1.3050000000000002,0.001
LRGz2_dNdz_south,LRGz2,south,1.315,0.007
LRGz2_dNdz_south,LRGz2,south,1.3250000000000002,0.003
LRGz2_dNdz_south,LRGz2,south,1.335,0.001
LRGz2_dNdz_south,LRGz2,south,1.3450000000000002,0.001
LRGz2_dNdz_south,LRGz2,south,1.355,0.002
LRGz2_dNdz_south,LRGz2,south,1.3650000000000002,0.001
LRGz2_dNdz_south,LRGz2,south,1.375,0.0
LRGz2_dNdz_south,LRGz2,south,1.3849999999999998,0.002
LRGz2_dNdz_south,LRGz2,south,1.395,0.001
LRGz2_dNdz_south,LRGz2,south,1.4049999999999998,0.0
LRGz2_dNdz_south,LRGz2,south,1.415,0.002
LRGz2_dNdz_south,LRGz2,south,1.4249999999999998,0.001
LRGz2_dNdz_south,LRGz2,south,1.435,0.0
LRGz2_dNdz_south,LRGz2,south,1.4449999999999998,0.0
LRGz2_dNdz_south,LRGz2,south,1.455,0.0
LRGz2_dNdz_south,LRGz2,south,1.4649999999999999,0.0
LRGz2_dNdz_south,LRGz2,south,1.475,0.0
LRGz2_dNdz_south,LRGz2,south,1.4849999999999999,0.0
